acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
-787,384,4259,-364,-282,-846
-726,284,4519,-510,-232,-864
-751,283,4233,-268,-119,-980
-749,133,4253,-391,-97,-999
-749,-61,4275,-419,-70,-1007
-784,-189,4216,-390,-35,-997
-867,-312,4206,-383,-5,-958
-928,-321,4142,-338,18,-894
-948,-204,3955,-291,28,-825
-946,-89,3806,-307,9,-766
-959,-130,3844,-469,-72,-698
-939,-147,3964,-442,-125,-679
-930,-148,4166,-445,-161,-649
-881,-139,4348,-442,-156,-610
-859,-66,4442,-399,-116,-582
-833,54,4440,-365,-55,-569
-830,130,4361,-365,13,-585
-868,134,4183,-361,68,-628
-878,61,4000,-362,90,-678
-883,-86,3868,-338,86,-727
-912,-271,3758,-300,70,-762
-962,-457,3722,-266,38,-767
-1015,-570,3679,-291,4,-722
-1033,-682,3818,-445,-38,-603
-985,-581,3968,-486,-83,-485
-927,-337,4018,-486,-110,-403
-894,-178,4071,-538,-115,-365
-906,-113,4094,-567,-111,-372
-912,-119,4082,-604,-102,-390
-881,-200,4129,-668,-93,-398
-882,-276,4117,-646,-81,-422
-885,-334,4030,-604,-78,-452
-986,-378,3839,-615,-89,-471
-1051,-354,3512,-701,-169,-481
-882,-487,3548,-849,-284,-479
-982,-631,3694,-959,-335,-457
-771,-764,4183,-1124,-439,-387
-682,-781,4369,-1083,-414,-375
-637,-794,4435,-1044,-353,-379
-675,-877,4473,-1034,-274,-396
-713,-1020,4420,-1142,-181,-370
-683,-1217,4481,-1342,-101,-285
-612,-1285,4466,-1367,-37,-226
-594,-1353,4462,-1330,35,-193
-597,-1322,4399,-1146,116,-203
-630,-1259,4242,-956,190,-228
-727,-1186,4028,-848,244,-247
-755,-1105,3813,-807,246,-273
-730,-1097,3653,-846,206,-297
-795,-1354,3774,-1109,157,-267
-775,-1485,4011,-1211,130,-210
-707,-1449,4044,-1178,152,-173
-667,-1478,4076,-1147,213,-178
-670,-1499,3906,-952,278,-247
-762,-1511,3641,-757,314,-328
-860,-1570,3378,-728,306,-359
-964,-1773,3333,-977,273,-291
-907,-1917,3527,-1227,234,-175
-820,-1904,3445,-1171,202,-156
-908,-1952,3299,-1126,177,-164
-947,-2031,3215,-1182,133,-129
-907,-2130,3337,-1313,66,-54
-784,-2153,3400,-1260,12,-30
-771,-2207,3364,-1124,-11,-44
-826,-2310,3373,-982,-31,-60
-866,-2353,3325,-775,-62,-82
-838,-2397,3351,-653,-99,-80
-843,-2403,3342,-516,-121,-83
-901,-2280,3148,-470,-137,-62
-811,-2302,3175,-606,-182,-18
-794,-2350,3234,-614,-222,0
-800,-2410,3222,-613,-241,12
-900,-2570,3278,-736,-258,51
-739,-2820,3453,-801,-298,88
-711,-3001,3625,-653,-289,141
-789,-2923,3582,-426,-246,196
-772,-3058,3538,-429,-208,265
-807,-3821,3564,-676,-150,594
-847,-3918,3668,-572,-140,835
-916,-3314,3607,-231,-149,1027
-716,-2817,3788,18,-192,1112
-809,-2357,4015,305,-176,1133
-837,-1854,4146,523,-132,1098
-781,-1548,4262,637,-71,1011
-819,-1279,4138,648,17,900
-821,-1305,4080,417,91,802
-920,-1531,3900,312,143,681
