acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,target
410,220,4511,340,-356,676,0
353,245,4246,371,-327,649,0
290,65,3944,427,-333,621,0
334,-104,4045,459,-385,643,0
473,83,4371,461,-373,745,0
490,176,4207,462,-338,783,0
538,174,4111,483,-334,806,0
605,157,4289,515,-358,840,0
695,389,4591,516,-355,896,0
750,703,4708,478,-308,927,0
758,859,4660,435,-243,916,0
697,923,4467,438,-190,884,0
725,1032,4544,439,-172,851,0
766,1058,4701,434,-128,805,0
746,871,4688,431,-52,757,0
740,677,4494,443,18,744,0
763,742,4409,433,42,774,0
806,953,4479,391,60,798,0
791,1064,4455,357,101,796,0
776,1158,4284,355,124,773,0
775,1006,4447,349,118,738,0
831,909,4745,325,142,742,0
819,1231,4586,303,219,760,0
711,1218,4262,271,272,719,0
636,1014,4198,258,269,691,0
688,1240,4345,232,263,710,0
686,1390,4236,217,290,676,0
608,1092,4222,231,292,612,0
675,958,4515,244,283,609,0
733,1050,4710,219,335,631,0
680,1048,4568,165,423,641,0
605,1130,4388,121,478,652,0
661,1328,4341,81,511,652,0
611,1342,4032,67,553,605,0
449,1100,3591,76,551,550,0
360,965,3504,93,477,545,0
380,1349,3695,111,403,566,0
353,1722,3655,123,382,519,0
256,1586,3490,143,359,411,0
229,1331,3566,175,310,339,0
250,1343,3681,175,285,321,0
257,1411,3617,149,283,301,0
260,1378,3603,121,269,269,0
292,1388,3666,118,251,239,0
301,1379,3663,118,251,199,0
274,1157,3559,109,251,162,0
282,1056,3589,87,229,167,0
299,1175,3631,63,214,181,0
289,1219,3633,46,204,164,0
278,1256,3669,43,189,139,0
183,1172,3483,39,153,55,0
196,926,3586,43,107,30,0
237,786,3783,41,74,38,0
254,785,3890,3,65,71,0
247,921,3836,-39,69,104,0
241,988,3877,-49,51,103,0
286,1029,4070,-64,30,98,0
313,1076,4172,-92,42,91,0
302,965,4213,-108,58,69,0
330,1007,4203,-104,79,65,0
