acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
-380,-228,3837,103,1049,-319
-423,-83,3727,128,1029,-307
-423,-83,3727,128,1029,-307
-454,-138,3755,142,1001,-322
-473,-181,3763,150,985,-322
-516,-204,3660,153,977,-317
-547,-150,3600,153,956,-309
-593,-163,3490,158,938,-317
-681,-357,3397,167,913,-320
-762,-238,3282,165,865,-268
-821,-331,3119,161,839,-260
-852,-278,2971,172,797,-241
-913,-278,2823,169,743,-231
-974,-329,2756,160,682,-216
-1037,-392,2709,162,620,-192
-1071,-323,2694,172,557,-155
-1089,-62,2603,177,504,-128
-1150,-47,2437,173,447,-139
-1185,-81,2319,180,372,-140
-1202,-89,2358,181,292,-130
-1220,-41,2297,173,230,-111
-1226,136,2215,165,160,-90
-1226,225,2204,146,85,-95
-1232,333,2029,141,14,-97
-1185,512,2020,154,-96,-108
-1114,549,2139,154,-203,-143
-1087,533,2155,130,-290,-173
-1035,594,2303,103,-381,-191
-981,681,2535,61,-495,-241
-951,900,2551,39,-537,-265
-928,939,2470,2,-584,-316
-926,792,2462,-22,-654,-371
-886,712,2568,-46,-727,-402
-849,694,2564,-71,-786,-426
-830,712,2479,-88,-850,-455
-830,712,2479,-88,-850,-455
-779,695,2501,-92,-934,-491
-697,586,2724,-101,-1025,-528
-628,496,3023,-127,-1086,-546
-571,494,3056,-164,-1106,-549
-486,591,3006,-175,-1146,-563
-404,558,3229,-164,-1208,-610
-290,639,3382,-161,-1260,-671
-228,578,3498,-202,-1296,-718
-69,595,3823,-254,-1319,-754
111,1351,4286,-441,-1230,-849
-307,289,3246,-648,-1117,-1033
-141,-753,3264,-453,-1446,-1101
216,-1420,5581,-213,-1547,-899
101,27,4388,-178,-1217,-665
98,300,4123,-204,-1243,-766
156,-242,4598,-195,-1289,-866
170,-843,4889,-219,-1266,-805
251,-535,5040,-214,-1189,-733
232,-565,4638,-220,-1132,-732
347,-465,5169,-172,-1162,-718
410,-490,5345,-163,-1110,-730
397,-1244,5567,-235,-931,-673
489,-936,5323,-226,-862,-584
496,-1156,5648,-228,-815,-578
437,-1044,5506,-203,-698,-514
446,-758,5158,-151,-639,-482
453,-1016,5198,-117,-642,-504
541,-1148,5491,-99,-607,-462
510,-1047,5317,-108,-513,-402
531,-1103,5509,-117,-465,-369
475,-1054,5517,-118,-372,-327
500,-1116,5365,-102,-283,-303
442,-1256,5243,-74,-197,-272
410,-1390,5058,-52,-134,-222
404,-1499,4960,-49,-93,-160
371,-1566,4816,-48,-53,-93
358,-1536,4703,-35,-26,-26
363,-1582,4667,-18,1,30
363,-1755,4617,-2,35,89
389,-1838,4480,17,77,168
387,-1831,4218,50,102,247
404,-1880,4123,90,95,315
417,-1943,4228,122,91,398
416,-1887,4064,143,108,493
434,-1763,3951,168,100,568
408,-1821,3905,198,87,623
445,-1779,3983,230,66,706
461,-1602,4174,242,83,791
407,-1456,3881,234,127,864
441,-1282,3882,269,103,910
466,-1205,3924,296,95,950
486,-1085,3848,319,95,977
509,-1111,3827,313,83,1000
496,-1255,3701,305,77,1037
460,-1298,3624,314,49,1113
543,-888,3873,331,6,1209
591,-481,3979,323,17,1246
574,-338,3929,310,37,1242
615,-154,3934,310,42,1244
604,-128,3831,293,58,1229
574,-199,3783,276,48,1227
607,-43,3905,270,23,1251
644,310,4035,246,15,1268
671,639,4039,219,28,1244
637,883,3933,214,24,1188
642,1097,4011,203,-4,1117
647,1126,4080,168,-17,1027
630,927,4170,134,-21,947
592,1196,3967,76,18,879
604,1299,3820,64,1,798
635,1068,3897,49,-40,707
708,979,4224,35,-66,662
744,1079,4325,9,-41,626
745,1081,4255,-5,-3,563
711,944,4235,3,19,496
714,867,4208,16,40,448
678,698,4149,28,59,397
681,529,4191,22,68,373
658,594,4122,10,93,370
