acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
567,294,5449,460,679,36
549,266,5456,491,715,13
516,212,5516,491,782,-3
411,76,5147,498,856,-2
376,44,4926,554,853,22
440,202,5178,621,831,50
525,445,5453,649,877,59
511,665,5229,635,981,48
451,740,4871,609,1051,7
406,707,4669,601,1066,-39
364,632,4626,586,1073,-72
314,528,4598,566,1122,-87
287,706,4442,537,1167,-84
229,691,4259,507,1200,-121
139,491,4062,480,1229,-151
39,418,3633,464,1254,-143
-75,431,3284,443,1230,-133
-137,425,3259,415,1166,-129
-179,482,3247,410,1120,-125
-179,482,3247,410,1120,-125
-212,517,3168,423,1088,-139
-219,424,3128,423,1057,-157
-218,366,3051,398,1020,-145
-233,334,3115,361,965,-120
-232,327,3338,311,933,-85
-289,491,3200,259,955,-40
-391,680,2844,224,954,-20
-497,804,2698,227,897,-25
-527,1090,2782,237,836,-38
-625,1273,2603,224,808,-92
-786,1021,2332,200,757,-162
-891,784,2270,178,665,-164
-952,877,2240,171,573,-122
-981,1085,2267,160,489,-93
-976,1231,2401,146,408,-87
-990,1446,2496,120,352,-84
-1013,1707,2436,84,310,-94
-1044,1885,2347,53,261,-130
-1067,1985,2285,42,198,-180
-1064,2132,2199,48,120,-236
-1042,2236,2348,14,32,-295
-1025,2357,2445,1,-27,-364
-1000,2424,2515,-4,-87,-447
-947,2420,2656,-26,-146,-533
-922,2296,2769,-70,-192,-612
-950,2189,2911,-135,-234,-656
-922,2308,3184,-206,-269,-675
-911,2589,3299,-246,-268,-722
-903,2783,3330,-269,-267,-827
-848,2632,3451,-284,-272,-978
-803,2129,3583,-297,-267,-1122
-765,1548,3742,-309,-257,-1204
-749,1200,3829,-331,-234,-1213
-772,1097,3690,-343,-203,-1202
-784,959,3672,-318,-210,-1221
-766,757,3903,-280,-233,-1245
-767,592,4069,-258,-213,-1247
-805,475,4037,-234,-172,-1247
-839,344,3956,-216,-148,-1249
-853,125,3886,-208,-137,-1244
-879,4,3743,-208,-133,-1214
-902,6,3528,-201,-152,-1177
-895,-22,3482,-176,-206,-1158
-840,-203,3690,-140,-270,-1153
-803,-414,3897,-133,-301,-1125
-795,-448,3895,-142,-296,-1066
-796,-445,3913,-153,-298,-1015
